LHipRoll;LHipPitch;LKneePitch;LAnklePitch;LAnkleRoll;RHipRoll;RHipPitch;RKneePitch;RAnklePitch;RAnkleRoll
-9.27532e-08;-1.36835e-07;-4.76837e-07;-4.76837e-07;-4.76837e-07;9.28937e-08;-1.36666e-07;-4.76837e-07;-4.76837e-07;4.76837e-07
-1.51981e-05;-0.000339553;0.000610496;-0.000273705;1.52226e-05;-1.52588e-05;-0.000339723;0.000610803;-0.000273705;1.57356e-05
-4.53274e-05;-0.00101524;0.00182586;-0.000818253;4.57146e-05;-4.52995e-05;-0.00101592;0.00182708;-0.000818729;4.62532e-05
-9.03152e-05;-0.00202372;0.00364023;-0.00163031;9.12064e-05;-9.05991e-05;-0.0020254;0.00364326;-0.00163174;9.15527e-05
-0.000149967;-0.00336161;0.00604783;-0.00270844;0.000151581;-0.000150204;-0.00336493;0.00605388;-0.00271082;0.000152111
-0.000224094;-0.00502554;0.00904299;-0.00404882;0.000226718;-0.00022459;-0.00503133;0.0090535;-0.00405359;0.000226974
-0.000312557;-0.00701223;0.01262;-0.00564957;0.000316453;-0.000313282;-0.00702146;0.0126368;-0.0056572;0.000317097
-0.000415211;-0.00931842;0.0167734;-0.00750828;0.000420631;-0.000415802;-0.0093322;0.0167983;-0.00751925;0.000421524
-0.000531923;-0.0119409;0.0214974;-0.00962114;0.000539084;-0.000533104;-0.0119605;0.0215328;-0.00963688;0.000540257
-0.000662555;-0.0148764;0.0267866;-0.0119867;0.000671655;-0.000663757;-0.0149032;0.0268351;-0.0120082;0.000672817
-0.000806935;-0.0181219;0.0326356;-0.0146022;0.000818225;-0.000808716;-0.0181575;0.0326999;-0.0146308;0.00082016
-0.000964912;-0.0216742;0.0390389;-0.0174651;0.000978651;-0.000967026;-0.0217202;0.0391221;-0.0175018;0.000980854
-0.00113635;-0.0255302;0.045991;-0.0205727;0.0011528;-0.00113916;-0.0255885;0.0460964;-0.0206199;0.00115538
-0.00132108;-0.029687;0.0534867;-0.0239229;0.00134055;-0.00132465;-0.0297595;0.0536178;-0.0239816;0.0013442
-0.00151899;-0.0341415;0.0615206;-0.0275135;0.00154177;-0.00152302;-0.0342303;0.0616811;-0.027585;0.00154591
-0.00172997;-0.0388909;0.0700874;-0.031342;0.00175631;-0.00173521;-0.0389982;0.0702813;-0.0314283;0.00176144
-0.00195392;-0.0439322;0.0791818;-0.0354061;0.00198405;-0.0019598;-0.0440603;0.0794134;-0.0355096;0.00198984
-0.00219073;-0.0492625;0.0887988;-0.0397038;0.00222487;-0.00219774;-0.0494139;0.0890724;-0.0398254;0.0022316
-0.00244029;-0.054879;0.0989332;-0.0442324;0.00247867;-0.00244856;-0.0550562;0.0992535;-0.0443749;0.00248671
-0.0027025;-0.0607788;0.10958;-0.0489893;0.00274533;-0.00271177;-0.0609846;0.109952;-0.0491552;0.00275469
-0.00297726;-0.0669592;0.120734;-0.0539732;0.00302475;-0.00298834;-0.0671963;0.121162;-0.0541644;0.00303555
