AngleReaderFrame;Pos x;Pos y;Pos z;Rot x;Rot y;Rot z;Left foot pos x;Left foot pos y;Left foot pos z;Right foot pos x;Right foot pos y;Right foot pos z;Ref LHipRoll;Ref LHipPitch;Ref LKneePitch;Ref LAnklePitch;Ref LAnkleRoll;Ref RHipRoll;Ref RHipPitch;Ref RKneePitch;Ref RAnklePitch;Ref RAnkleRoll;Contact1;Contact2;Left foot rot x;Left foot rot y;Left foot rot z;Right foot rot x;Right foot rot y;Right foot rot z;Target LHipRoll;Target LHipPitch;Target LKneePitch;Target LAnklePitch;Target LAnkleRoll;Target RHipRoll;Target RHipPitch;Target RKneePitch;Target RAnklePitch;Target RAnkleRoll
0;-0.00782907;-6.62407e-08;0.377456;2.49873e-06;-2.66708e-06;-6.85564e-08;0.025;0.05;0.0159994;0.025;-0.05;0.0159994;0;-0;-0;-0;0;-0;-0;-0;-0;-0;1;1;3.06835e-06;-3.10634e-06;-7.0703e-08;3.0691e-06;-3.10728e-06;-7.07134e-08;1;-0;-0.001;-10;2;-0;-0.001;-10;-3;-0
0;-0.00783078;-1.1406e-07;0.377437;2.31411e-06;4.43703e-06;-7.96537e-08;0.0249998;0.05;0.0159991;0.0249998;-0.0500001;0.0159991;-0.00153027;-0.0338918;0.0611518;-0.02726;0.00153027;-0.00153027;-0.0338918;0.0611518;-0.02726;0.00153027;1;1;2.25213e-06;-1.46268e-07;-1.15759e-07;2.99719e-06;-1.48339e-07;-4.26454e-08;1;-0;-0.001;-10;2;-0;-0.001;-10;-3;-0
0;-0.00783534;-1.48349e-07;0.377409;1.84611e-06;1.69555e-05;1.50439e-08;0.0249992;0.0500001;0.0159989;0.0249992;-0.0500001;0.0159989;-0.00306054;-0.0677836;0.122304;-0.05452;0.00306054;-0.00306054;-0.0677836;0.122304;-0.05452;0.00306054;1;1;9.18706e-07;4.36825e-06;-1.65988e-07;3.11095e-06;4.36465e-06;2.16718e-07;1;-0;-0.001;-10;2;-0;-0.001;-10;-3;-0
0;-0.00784359;-1.75464e-07;0.377373;1.41461e-06;3.32891e-05;1.08532e-07;0.0249982;0.0500003;0.0159985;0.0249982;-0.0500003;0.0159985;-0.00459081;-0.101675;0.183455;-0.0817799;0.00459081;-0.00459081;-0.101675;0.183455;-0.0817799;0.00459081;1;1;-6.85553e-07;9.52196e-06;-4.77681e-07;3.67639e-06;9.51533e-06;7.22393e-07;1;-0;-0.001;-10;2;-0;-0.001;-10;-3;-0
0;-0.00785611;-1.97789e-07;0.377328;1.06456e-06;5.22059e-05;1.49958e-07;0.0249968;0.0500007;0.0159982;0.0249968;-0.0500007;0.0159982;-0.00612108;-0.135567;0.244607;-0.10904;0.00612108;-0.00612108;-0.135567;0.244607;-0.10904;0.00612108;1;1;-2.52375e-06;1.4697e-05;-1.51695e-06;4.71318e-06;1.46938e-05;1.8419e-06;1;-0;-0.001;-10;2;-0;-0.001;-10;-3;-0
0;-0.0078733;-2.16599e-07;0.377277;7.94749e-07;7.2762e-05;1.76769e-07;0.0249953;0.0500013;0.0159979;0.0249953;-0.0500013;0.0159979;-0.00765135;-0.169459;0.305759;-0.1363;0.00765135;-0.00765135;-0.169459;0.305759;-0.1363;0.00765135;1;1;-4.6583e-06;1.95329e-05;-2.86462e-06;6.24774e-06;1.95325e-05;3.2466e-06;1;-0;-0.001;-10;2;-0;-0.001;-10;-3;-0
0;-0.00789545;-2.32156e-07;0.377218;6.17535e-07;9.43301e-05;1.92579e-07;0.0249938;0.0500021;0.0159976;0.0249938;-0.0500021;0.0159976;-0.00918162;-0.203351;0.366911;-0.16356;0.00918162;-0.00918162;-0.203351;0.366911;-0.16356;0.00918162;1;1;-7.1246e-06;2.39151e-05;-4.49382e-06;8.34078e-06;2.39438e-05;4.9131e-06;1;-0;-0.001;-10;2;-0;-0.001;-10;-3;-0
0;-0.00792273;-2.45055e-07;0.377153;5.00936e-07;0.000116481;1.80488e-07;0.0249923;0.0500031;0.0159973;0.0249923;-0.0500031;0.0159973;-0.0107119;-0.237243;0.428062;-0.19082;0.0107119;-0.0107119;-0.237243;0.428062;-0.19082;0.0107119;1;1;-1.00257e-05;2.78506e-05;-6.31519e-06;1.09935e-05;2.79069e-05;6.71622e-06;1;-0;-0.001;-10;2;-0;-0.001;-10;-3;-0
0;-0.00795528;-2.55442e-07;0.377083;4.2627e-07;0.000138806;1.46859e-07;0.0249911;0.0500041;0.0159971;0.0249911;-0.0500041;0.0159971;-0.0122422;-0.271134;0.489214;-0.21808;0.0122422;-0.0122422;-0.271134;0.489214;-0.21808;0.0122422;1;1;-1.33877e-05;3.12735e-05;-8.03447e-06;1.42012e-05;3.13399e-05;8.37729e-06;1;-0;-0.001;-10;2;-0;-0.001;-10;-3;-0
0;-0.00799319;-2.63016e-07;0.377008;3.95891e-07;0.000161062;1.11348e-07;0.02499;0.0500051;0.0159968;0.02499;-0.0500051;0.0159968;-0.0137724;-0.305026;0.550366;-0.24534;0.0137724;-0.0137724;-0.305026;0.550366;-0.24534;0.0137724;1;1;-1.72155e-05;3.41878e-05;-9.56226e-06;1.79538e-05;3.42843e-05;9.84955e-06;1;-0;-0.001;-10;2;-0;-0.001;-10;-3;-0
0;-0.00803652;-2.67547e-07;0.376928;3.96077e-07;0.000183173;7.45774e-08;0.0249892;0.0500062;0.0159965;0.0249892;-0.0500062;0.0159965;-0.0153027;-0.338918;0.611518;-0.2726;0.0153027;-0.0153027;-0.338918;0.611518;-0.2726;0.0153027;1;1;-2.15396e-05;3.67217e-05;-1.07644e-05;2.22655e-05;3.68464e-05;1.09972e-05;1;-0;-0.001;-10;2;-0;-0.001;-10;-3;-0
0;-0.00808531;-2.69189e-07;0.376845;4.18887e-07;0.000205169;3.3803e-08;0.0249885;0.0500074;0.0159962;0.0249885;-0.0500074;0.0159963;-0.016833;-0.37281;0.672669;-0.29986;0.016833;-0.016833;-0.37281;0.672669;-0.29986;0.016833;1;1;-2.63803e-05;3.90342e-05;-1.1887e-05;2.7139e-05;3.91932e-05;1.206e-05;1;-0;-0.001;-10;2;-0;-0.001;-10;-3;-0
0;-0.0081396;-2.67556e-07;0.376759;4.69143e-07;0.000227089;-1.37592e-08;0.024988;0.0500087;0.015996;0.024988;-0.0500087;0.015996;-0.0183632;-0.406701;0.733821;-0.32712;0.0183632;-0.0183632;-0.406701;0.733821;-0.32712;0.0183632;1;1;-3.17628e-05;4.1254e-05;-1.31213e-05;3.26011e-05;4.14497e-05;1.32203e-05;1;-0;-0.001;-10;2;-0;-0.001;-10;-3;-0
0;-0.00819942;-2.62283e-07;0.37667;5.39906e-07;0.000249009;-7.03651e-08;0.0249875;0.0500102;0.0159958;0.0249875;-0.0500103;0.0159958;-0.0198935;-0.440593;0.794973;-0.35438;0.0198935;-0.0198935;-0.440593;0.794973;-0.35438;0.0198935;1;1;-3.77425e-05;4.35065e-05;-1.44767e-05;3.86959e-05;4.37461e-05;1.44868e-05;1;-0;-0.001;-10;2;-0;-0.001;-10;-3;-0
0;-0.00826482;-2.52992e-07;0.376579;6.2806e-07;0.000271022;-1.36194e-07;0.0249871;0.0500119;0.0159956;0.0249871;-0.050012;0.0159956;-0.0214238;-0.474485;0.856125;-0.38164;0.0214238;-0.0214238;-0.474485;0.856125;-0.38164;0.0214238;1;1;-4.43669e-05;4.59085e-05;-1.59625e-05;4.54642e-05;4.62027e-05;1.58662e-05;1;-0;-0.001;-10;2;-0;-0.001;-10;-3;-0
0;-0.00833582;-2.39759e-07;0.376486;7.29679e-07;0.000293216;-2.11759e-07;0.0249869;0.0500138;0.0159955;0.0249869;-0.0500139;0.0159955;-0.0229541;-0.508377;0.917276;-0.4089;0.0229541;-0.0229541;-0.508377;0.917276;-0.4089;0.0229541;1;1;-5.16897e-05;4.85687e-05;-1.75843e-05;5.29469e-05;4.89194e-05;1.73637e-05;1;-0;-0.001;-10;2;-0;-0.001;-10;-3;-0
0;-0.00841246;-2.22005e-07;0.376391;8.45627e-07;0.000315674;-2.9807e-07;0.0249867;0.0500159;0.0159954;0.0249868;-0.050016;0.0159955;-0.0244843;-0.542269;0.978428;-0.43616;0.0244843;-0.0244843;-0.542269;0.978428;-0.43616;0.0244843;1;1;-5.9758e-05;5.15654e-05;-1.93514e-05;6.12018e-05;5.19886e-05;1.89879e-05;1;-0;-0.001;-10;2;-0;-0.001;-10;-3;-0
0;-0.00849479;-1.98652e-07;0.376295;9.7687e-07;0.000338472;-3.94774e-07;0.0249867;0.0500182;0.0159954;0.0249867;-0.0500183;0.0159954;-0.0260146;-0.57616;1.03958;-0.46342;0.0260146;-0.0260146;-0.57616;1.03958;-0.46342;0.0260146;1;1;-6.86278e-05;5.49709e-05;-2.12707e-05;7.02843e-05;5.54767e-05;2.07437e-05;1;-0;-0.001;-10;2;-0;-0.001;-10;-3;-0
0;-0.00858284;-1.69764e-07;0.376199;1.12975e-06;0.000361663;-5.04022e-07;0.0249867;0.0500208;0.0159954;0.0249868;-0.0500208;0.0159955;-0.0275449;-0.610052;1.10073;-0.49068;0.0275449;-0.0275449;-0.610052;1.10073;-0.49068;0.0275449;1;1;-7.83448e-05;5.88334e-05;-2.33505e-05;8.02384e-05;5.94345e-05;2.26385e-05;1;-0;-0.001;-10;2;-0;-0.001;-10;-3;-0
0;-0.00867665;-1.35569e-07;0.376101;1.30179e-06;0.000385273;-6.25734e-07;0.0249868;0.0500235;0.0159956;0.0249869;-0.0500236;0.0159956;-0.0290751;-0.643944;1.16188;-0.51794;0.0290751;-0.0290751;-0.643944;1.16188;-0.51794;0.0290751;1;1;-8.89634e-05;6.31924e-05;-2.5598e-05;9.11266e-05;6.39083e-05;2.46772e-05;1;-0;-0.001;-10;2;-0;-0.001;-10;-3;-0
1;-0.00877625;-9.52154e-08;0.376002;1.48187e-06;0.000409329;-6.70442e-07;0.024987;0.0500266;0.0159957;0.0249871;-0.0500267;0.0159958;-0.0306054;-0.677836;1.22304;-0.5452;0.0306054;-0.0306054;-0.677836;1.22304;-0.5452;0.0306054;1;1;-0.000100515;6.80757e-05;-2.84284e-05;0.000102959;6.8917e-05;2.74724e-05;1;-0;-0.001;-10;2;-0;-0.001;-10;-3;-0
1;-0.00887973;-4.8857e-08;0.375903;1.68328e-06;0.000423232;-8.00205e-07;0.0249876;0.0500298;0.0159958;0.0249877;-0.0500299;0.0159959;-0.0304912;-0.671017;1.21048;-0.539462;0.0304912;-0.0304912;-0.671017;1.21048;-0.539462;0.0304912;1;1;-0.000111788;6.78038e-05;-3.06301e-05;0.000114559;6.87873e-05;2.94411e-05;1;-0;-0.001;-10;2;-0;-0.001;-10;-3;-0
1;-0.00898571;4.97095e-09;0.375802;1.89108e-06;0.000429331;-1.22389e-06;0.0249886;0.0500333;0.0159958;0.0249887;-0.0500334;0.0159959;-0.0303769;-0.664198;1.19792;-0.533725;0.0303769;-0.0303769;-0.664198;1.19792;-0.533725;0.0303769;1;1;-0.000122757;6.42033e-05;-3.25552e-05;0.000125831;6.5333e-05;3.05091e-05;1;-0;-0.001;-10;2;-0;-0.001;-10;-3;-0
