LHipRoll;LHipPitch;LKneePitch;LAnklePitch;LAnkleRoll;RHipRoll;RHipPitch;RKneePitch;RAnklePitch;RAnkleRoll
-9.27532e-08;-1.36835e-07;-4.76837e-07;-4.76837e-07;-4.76837e-07;9.28937e-08;-1.36666e-07;-4.76837e-07;-4.76837e-07;4.76837e-07
-1.51982e-05;-0.000339554;0.000610499;-0.000273705;1.52227e-05;-1.52588e-05;-0.000339724;0.000610805;-0.000273705;1.57356e-05
-4.53274e-05;-0.00101525;0.00182587;-0.000817776;4.57155e-05;-4.52995e-05;-0.00101593;0.00182709;-0.000818729;4.62532e-05
-9.0309e-05;-0.00202374;0.00364027;-0.00163031;9.12094e-05;-9.05991e-05;-0.00202541;0.00364328;-0.00163174;9.15527e-05
-0.000149984;-0.00336161;0.00604795;-0.00270796;0.000151558;-0.000150204;-0.00336494;0.00605396;-0.00271082;0.000152111
-0.000224184;-0.0050255;0.00904321;-0.00404835;0.000226617;-0.00022459;-0.00503132;0.00905369;-0.00405312;0.000226974
-0.000312746;-0.00701213;0.0126204;-0.00564861;0.000316252;-0.000313282;-0.00702138;0.0126371;-0.00565624;0.000317097
-0.000415497;-0.0093182;0.016774;-0.00750685;0.000420325;-0.000416279;-0.009332;0.0167989;-0.00751781;0.000421047
-0.000532284;-0.0119405;0.0214983;-0.00961924;0.000538691;-0.000533104;-0.0119601;0.0215337;-0.00963545;0.00053978
-0.000662951;-0.0148759;0.0267878;-0.0119848;0.000671205;-0.000664234;-0.0149027;0.0268363;-0.0120063;0.000672817
-0.000807349;-0.0181212;0.032637;-0.0145998;0.000817725;-0.000809193;-0.0181568;0.0327014;-0.0146284;0.000819683
-0.000965325;-0.0216733;0.0390405;-0.0174623;0.000978115;-0.000967503;-0.0217193;0.0391238;-0.0174994;0.000980377
-0.00113673;-0.0255292;0.0459929;-0.0205698;0.00115224;-0.00113964;-0.0255875;0.0460983;-0.0206165;0.0011549
