LHipRoll;LHipPitch;LKneePitch;LAnklePitch;LAnkleRoll;RHipRoll;RHipPitch;RKneePitch;RAnklePitch;RAnkleRoll
-0.0438316;-0.9636234;01.9272468;-0.9636234;00.0438316;-0.0438316;-0.9636234;01.9272468;-0.9636234;00.0438316
-0.0306054;-0.6778357;01.2230352;-0.5451996;00.0306054;-0.0306054;-0.6778357;01.2230352;-0.5451996;00.0306054
-0.0283206;-0.5414560;00.9719134;-0.4304575;00.0283206;-0.0283206;-0.5414560;00.9719134;-0.4304575;00.0283206
-0.0277262;-0.4880080;00.8899263;-0.4019182;00.0277262;-0.0277262;-0.4880080;00.8899263;-0.4019182;00.0277262
-0.0275540;-0.4685785;00.8645136;-0.3959351;00.0275540;-0.0275540;-0.4685785;00.8645136;-0.3959351;00.0275540
-0.0275013;-0.4617058;00.8566217;-0.3949158;00.0275013;-0.0275013;-0.4617058;00.8566217;-0.3949158;00.0275013
-0.0274846;-0.4592976;00.8541107;-0.3948131;00.0274846;-0.0274846;-0.4592976;00.8541107;-0.3948131;00.0274846
-0.0274790;-0.4584566;00.8532902;-0.3948336;00.0274790;-0.0274790;-0.4584566;00.8532902;-0.3948336;00.0274790
-0.0274772;-0.4581633;00.8530163;-0.3948529;00.0274772;-0.0274772;-0.4581633;00.8530163;-0.3948529;00.0274772
-0.0274766;-0.4580611;00.8529233;-0.3948623;00.0274766;-0.0274766;-0.4580611;00.8529233;-0.3948623;00.0274766
-0.0274764;-0.4580255;00.8528915;-0.3948661;00.0274764;-0.0274764;-0.4580255;00.8528915;-0.3948661;00.0274764
-0.0274763;-0.4580130;00.8528805;-0.3948675;00.0274763;-0.0274763;-0.4580130;00.8528805;-0.3948675;00.0274763
-0.0274763;-0.4580087;00.8528767;-0.3948680;00.0274763;-0.0274763;-0.4580087;00.8528767;-0.3948680;00.0274763
-0.0274762;-0.4580072;00.8528754;-0.3948682;00.0274762;-0.0274762;-0.4580072;00.8528754;-0.3948682;00.0274762
-0.0274762;-0.4580067;00.8528749;-0.3948683;00.0274762;-0.0274762;-0.4580067;00.8528749;-0.3948683;00.0274762
-0.0274762;-0.4580065;00.8528748;-0.3948683;00.0274762;-0.0274762;-0.4580065;00.8528748;-0.3948683;00.0274762
-0.0274762;-0.4580064;00.8528747;-0.3948683;00.0274762;-0.0274762;-0.4580064;00.8528747;-0.3948683;00.0274762
-0.0274762;-0.4580064;00.8528747;-0.3948683;00.0274762;-0.0274762;-0.4580064;00.8528747;-0.3948683;00.0274762
-0.0274762;-0.4580064;00.8528747;-0.3948683;00.0274762;-0.0274762;-0.4580064;00.8528747;-0.3948683;00.0274762
-0.0274762;-0.4580064;00.8528747;-0.3948683;00.0274762;-0.0274762;-0.4580064;00.8528747;-0.3948683;00.0274762
-0.0274762;-0.4580064;00.8528747;-0.3948683;00.0274762;-0.0274762;-0.4580064;00.8528747;-0.3948683;00.0274762
-0.0274762;-0.4580064;00.8528747;-0.3948683;00.0274762;-0.0274762;-0.4580064;00.8528747;-0.3948683;00.0274762
-0.0274762;-0.4580064;00.8528747;-0.3948683;00.0274762;-0.0274762;-0.4580064;00.8528747;-0.3948683;00.0274762
-0.0275009;-0.4580049;00.8528717;-0.3948668;00.0275009;-0.0274516;-0.4580079;00.8528777;-0.3948698;00.0274516
-0.0275565;-0.4580015;00.8528650;-0.3948635;00.0275565;-0.0273960;-0.4580113;00.8528844;-0.3948731;00.0273960
-0.0276428;-0.4579961;00.8528545;-0.3948584;00.0276428;-0.0273096;-0.4580166;00.8528948;-0.3948782;00.0273096
-0.0277581;-0.4579890;00.8528405;-0.3948514;00.0277581;-0.0271943;-0.4580236;00.8529086;-0.3948850;00.0271943
-0.0279009;-0.4579802;00.8528230;-0.3948428;00.0279009;-0.0270515;-0.4580322;00.8529256;-0.3948934;00.0270515
-0.0280703;-0.4579696;00.8528021;-0.3948326;00.0280703;-0.0268821;-0.4580424;00.8529457;-0.3949033;00.0268821
-0.0282662;-0.4579572;00.8527779;-0.3948206;00.0282662;-0.0266863;-0.4580541;00.8529688;-0.3949147;00.0266863
-0.0284889;-0.4579431;00.8527501;-0.3948069;00.0284889;-0.0264635;-0.4580673;00.8529949;-0.3949276;00.0264635
