LHipRoll;LHipPitch;LKneePitch;LAnklePitch;LAnkleRoll;RHipRoll;RHipPitch;RKneePitch;RAnklePitch;RAnkleRoll
-0.0438316;-0.9636234;01.9272468;-0.9636234;00.0438316;-0.0438316;-0.9636234;01.9272468;-0.9636234;00.0438316
-0.0306054;-0.6778357;01.2230352;-0.5451996;00.0306054;-0.0306054;-0.6778357;01.2230352;-0.5451996;00.0306054
-0.0283206;-0.5414560;00.9719134;-0.4304575;00.0283206;-0.0283206;-0.5414560;00.9719134;-0.4304575;00.0283206
-0.0277262;-0.4880080;00.8899263;-0.4019182;00.0277262;-0.0277262;-0.4880080;00.8899263;-0.4019182;00.0277262
-0.0275540;-0.4685785;00.8645136;-0.3959351;00.0275540;-0.0275540;-0.4685785;00.8645136;-0.3959351;00.0275540
-0.0275013;-0.4617058;00.8566217;-0.3949158;00.0275013;-0.0275013;-0.4617058;00.8566217;-0.3949158;00.0275013
-0.0274846;-0.4592976;00.8541107;-0.3948131;00.0274846;-0.0274846;-0.4592976;00.8541107;-0.3948131;00.0274846
-0.0274790;-0.4584566;00.8532902;-0.3948336;00.0274790;-0.0274790;-0.4584566;00.8532902;-0.3948336;00.0274790
-0.0274772;-0.4581633;00.8530163;-0.3948529;00.0274772;-0.0274772;-0.4581633;00.8530163;-0.3948529;00.0274772
-0.0274766;-0.4580611;00.8529233;-0.3948623;00.0274766;-0.0274766;-0.4580611;00.8529233;-0.3948623;00.0274766
-0.0274764;-0.4580255;00.8528915;-0.3948661;00.0274764;-0.0274764;-0.4580255;00.8528915;-0.3948661;00.0274764
-0.0274763;-0.4580130;00.8528805;-0.3948675;00.0274763;-0.0274763;-0.4580130;00.8528805;-0.3948675;00.0274763
-0.0274763;-0.4580087;00.8528767;-0.3948680;00.0274763;-0.0274763;-0.4580087;00.8528767;-0.3948680;00.0274763
-0.0274807;-0.4580069;00.8528749;-0.3948679;00.0274807;-0.0274718;-0.4580075;00.8528759;-0.3948685;00.0274718
-0.0274950;-0.4580055;00.8528727;-0.3948672;00.0274950;-0.0274575;-0.4580078;00.8528772;-0.3948694;00.0274575
-0.0275238;-0.4580036;00.8528690;-0.3948655;00.0275238;-0.0274287;-0.4580094;00.8528805;-0.3948711;00.0274287
-0.0275709;-0.4580006;00.8528633;-0.3948627;00.0275709;-0.0273816;-0.4580122;00.8528862;-0.3948739;00.0273816
-0.0276396;-0.4579964;00.8528549;-0.3948585;00.0276396;-0.0273129;-0.4580164;00.8528944;-0.3948780;00.0273129
-0.0277321;-0.4579906;00.8528436;-0.3948530;00.0277321;-0.0272204;-0.4580220;00.8529055;-0.3948835;00.0272204
-0.0278504;-0.4579833;00.8528292;-0.3948459;00.0278504;-0.0271021;-0.4580292;00.8529196;-0.3948904;00.0271021
-0.0279960;-0.4579742;00.8528113;-0.3948371;00.0279960;-0.0269564;-0.4580379;00.8529369;-0.3948990;00.0269564
-0.0281703;-0.4579633;00.8527898;-0.3948265;00.0281703;-0.0267821;-0.4580484;00.8529575;-0.3949092;00.0267821
-0.0283744;-0.4579504;00.8527644;-0.3948140;00.0283744;-0.0265781;-0.4580605;00.8529815;-0.3949210;00.0265781
-0.0286092;-0.4579354;00.8527350;-0.3947995;00.0286092;-0.0263432;-0.4580743;00.8530088;-0.3949345;00.0263432
-0.0288759;-0.4579171;00.8527014;-0.3947843;00.0288759;-0.0260765;-0.4580887;00.8530398;-0.3949510;00.0260765
-0.0291755;-0.4578938;00.8526636;-0.3947698;00.0291755;-0.0257768;-0.4581021;00.8530744;-0.3949723;00.0257768
-0.0295094;-0.4578637;00.8526211;-0.3947575;00.0295094;-0.0254429;-0.4581130;00.8531126;-0.3949997;00.0254429
-0.0298789;-0.4578251;00.8525737;-0.3947485;00.0298789;-0.0250732;-0.4581197;00.8531545;-0.3950348;00.0250732
-0.0302859;-0.4577765;00.8525208;-0.3947442;00.0302859;-0.0246661;-0.4581210;00.8532000;-0.3950790;00.0246661
-0.0307323;-0.4577162;00.8524619;-0.3947456;00.0307323;-0.0242196;-0.4581154;00.8532490;-0.3951336;00.0242196
-0.0312204;-0.4576425;00.8523963;-0.3947538;00.0312204;-0.0237311;-0.4581016;00.8533016;-0.3952000;00.0237311
